Topic,"Title (for model laws include the word ""Model"" in title)",Short Title (only for Exemplary),Year (if unknown for Model look at effective date - use same year if July/prior year if January),Source,Source Website,State (multiple states separated by a comma) ,"Format (Model, Exemplary, Support)","Level (State, County, Municipal)","Type (Bill, Act/Ordinance, Executive Order, Referendum, Administrative Rule, Constitutional Amendment, Report, Other)",Web Folder Link to PDF,Web Folder Path to PDF,Web Folder Link to Word Doc,Summary,Bill Number,Web Folder Link to Bill PDF,Legislative History,Alternative Terms,(Internal Notes)
Benefits Corporations,2011 New Jersey Public Laws Chapter 30,,2010,New Jersey Legislature,http://www.njleg.state.nj.us/,New Jersey,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Benefits_Corporations/2011_New_Jersey_Public_Laws_Chapter_30.pdf,,,"An act which provides for the creation of a
benefit corporation. The purpose of a benefit corporation is to create a
general public benefit, defined as a material positive impact on society and
the environment, through activities that promote some combination of specific
public benefits.  This allows a benefit corporation, at the direction of its
shareholders, to pursue a mission that goes beyond making a profit for owners
and investors, while providing legal justification and protection for the
actions of its officers and board members that consider social and environmental
issues when making decisions on behalf of the corporation. The bill allows a benefit corporation to identify one
or more specific public benefits in addition to its stated purpose of creating
a general public benefit. ",2010 New Jersey Senate Bill 2170 ,http://www.njleg.state.nj.us/2010/Bills/S2500/2170_I1.PDF,,"Economic Development, Benefit Corporation, Corporate Responsibility, 
Corporate Transparancy, Public Purpose Corporation, Special Purpose 
Corporation,",
Green Jobs Training,2012 Colorado House Bill 10-1333,,2010,Colorado Legislature,http://www.leg.state.co.us/clics/clics2012B/cslFrontPages.nsf/HomeSplash?OpenForm,Colorado Legislature,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Green_Jobs_Training/2012_Colorado_House_Bill_10-1333.pdf,,,"The bill creates in the office of the governor the green jobs Colorado training program, which is a 2-year pilot program. The pilot program will offer grants to applicants who train individuals for jobs inthe wind, solar, renewable energy, and energy efficiency industries.The bill also creates the green jobs Colorado advisory council,which will review grant applications and award grants to applicants who meet the requirements specified in the bill.The bill specifies that the pilot program is to be funded by federal funds received by the department of labor and employment for the purposes of the pilot program and by funds received from the governor's energy office. Finally, the bill requires the executive director of the departmentof labor and employment to evaluate the green jobs Colorado training program and report his or her findings to the governor and the legislative committees of reference assigned in the bill.",2010 Colorado House Bill 1333,http://www.leg.state.co.us/clics/clics2010a/csl.nsf/fsbillcont2/EF619483FD7DC170872576A80027B7F3?Open,http://www.leg.state.co.us/CLICS/CLICS2010A/csl.nsf/BillFoldersAll?OpenFrameSet,"Workforce Development, Vocational Training,Green Jobs, New Energy Economy, Renewable Energy, Solar energy, Wind Energy, Energy Efficient Industries",
Bulk Purchasing of Medications and Use of Safe Generics,2010 Fair Market Drug Pricing Model Act,,2010,Center for State Innovation,http://www.stateinnovation.org/,,Model,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Health/Bulk_Purchasing_of_Medications_and_Use_of_Safe_Generics/2010_Fair_Market_Drug_Pricing_Model_Act.pdf,,,The Fair Market Drug Pricing Act is similar to the Maine Rx Plus program. It lowers prices for the state Medicaid program and for uninsured state residents by directing the state Secretary of [Health] to negotiate rebates from drug manufacturers,,,,"Medicare, Prescription Drug Policy, Fair Drug Pricing",
Low Income Access to Farmers' Markets,"Chapter  435, California Statutes of 2010",,2010,California Legislature,http://www.legislature.ca.gov/,California,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Health/Low_Income_Access_to_Farmers'_Markets/2010_California_Assembly_Bill_537.pdf,,,"Existing law, administered by the State Department of Social Services, provides for the establishment of a statewide electronic benefit transfer (EBT) system for the purpose of providing financial and food assistance benefits to needy Californians.
This bill would allow an interested collective group or association of produce sellers that is Food and Nutrition Service (FNS) authorized and in a flea market, farmers’ market, or certified farmers’ market to initiate and operate an EBT acceptance system in the market, as specified. The bill would provide that an individual produce seller in a market is not prohibited from operating his or her own individual EBT acceptance activity as part of that seller’s personal business customer transaction offering.",2010 California Assembly Bill 537,http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0501-0550/ab_537_bill_20090225_introduced.pdf,http://www.leginfo.ca.gov/pub/09-10/bill/asm/ab_0501-0550/ab_537_bill_20100929_history.html,"Electronic Benefit Transfer, Farmer's Markets, EBT, Public Benefits, Food Stamps, ",
Campaign Finance Reform,2010 Iowa Chapter 119,,2010,Iowa legislature,https://www.legis.iowa.gov/index.aspx,Iowa,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Campaign_Finance_Reform/2010_Iowa_Chapter_119.pdf,,,"This act regulates independent expenditures, provide for mandatory attribution on published materials, and limit/regulate political contributions from financial institutions",,,http://coolice.legis.iowa.gov/Cool-ICE/default.asp?Category=BillInfo&Service=DspHistory&var=SF&key=0917B&GA=83,,
Campaign Finance Reform,2010 West Virginia House Bill 4646,,2010,West Virginia legislature,http://www.legis.state.wv.us/,West Virginia,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Campaign_Finance_Reform/2010_West_Virginia_House_Bill_4646.pdf,,,"This act requires corporations to seek annual approval of contributions by a majority of shareholders if the corporation makes a political contribution of $10,000 or more; to state, if known at the time, whether or not the funds will be used to benefit or defeat a specific candidate, ballot measures or issue advocacy campaigns, or whether it will be paid to specific nonprofits or trade associations for political activities; and provides that a director who votes for or assents to a expenditure or contribution without the authorization of shareholders is personally liable to the corporation.     ",,,http://www.legis.state.wv.us/bill_status/bills_history.cfm?year=2010&sessiontype=RS&input=4646,,
End Prison-Based Gerrymandering,2010 Maryland Chapter 67,No Representation without Population Act,2010,Maryland legislature,http://mlis.state.md.us/,Maryland,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/End_Prison-Based_Gerrymandering/2010_Maryland_Chapter_67.pdf,,,This act requires incarcerated individuals to be counted in population counts at there last known address if the individuals were residents of the State before incarceration; and prohibits incarcerated individuals from being included in the population counts used after each decennial census for the purpose of creating a specified congressional districting plan and the legislative districting plan for the General Assembly and the legislative districts that are used to elect the governing body of a county or a municipal corporation.,,,http://mlis.state.md.us/2010rs/billfile/hb0496.htm#History,,
End Prison-Based Gerrymandering,2010 Delaware Chapter 472,,2010,Delaware legislature,http://legis.delaware.gov/,Delaware,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/End_Prison-Based_Gerrymandering/2010_Delaware_Chapter_472.pdf,,,"This act provides that the General Assembly may not count as part of the population in a given district boundary any incarcerated individual who was not a resident of the State prior to the individual’s incarceration.  In addition, the Act requires that an individual who was a resident of the State of Delaware prior to incarceration be counted at the individual’s last known residence prior to incarceration, as opposed to at the address of the correctional facility. ",,,http://legis.delaware.gov/LIS/LIS145.nsf/vwLegislation/HB+384?Opendocument,,
End Prison-Based Gerrymandering,2010 New York Chapter 57,,2010,New York legislature ,http://assembly.state.ny.us/,New York,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/End_Prison-Based_Gerrymandering/2010_New_York_Chapter_57.pdf,,,"Part xx of this act requires the department of corrections to collect residence data on all incarcerated inmates, including the address at which an inmate resided prior to incarceration, to be used to indicate an inmate's place of residence for any decennial census which is taken but in which the United States bureau of the census does not implement a policy of reporting incarcerated persons at each such person's residential address prior to incarceration.  This act establishes procedures and regulations for collecting and transferring data.",,,http://assembly.state.ny.us/leg/?default_fld=&bn=A09710&term=2009&Actions=Y,,
Lobbying Reform,2011 Iowa Chapter 86,,2010,Iowa legislature,https://www.legis.iowa.gov/index.aspx,Iowa,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Lobbying_Reform/2011_Iowa_Chapter_86.pdf,,,This act requires that lobbyist in the state electronically register before lobbying begins and that lobbyist identify all clients and whether the lobbyist intends to lobby the executive branch and allows for preregistration.  This act provides that the Secretary of the Senate to establish an internet site for the electronic filing of lobbyist registrations.                                   ,,,http://coolice.legis.iowa.gov/Cool-ICE/default.asp?Category=BillInfo&Service=DspHistory&ga=84&key=0148C,,
Youth Voter Registration,2010 Delaware Chapter 473,,2010,Delaware legislature,http://legis.delaware.gov/,Delaware,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Voting_and_Elections/Youth_Voter_Registration/2010_Delaware_Chapter_473.pdf,,,This act allows 16 year olds to register to vote through the Division of Motor Vehicle at the time they first apply for their driver’s license.,,,http://legis.delaware.gov/lis/lis145.nsf/vwLegislation/HB+381?Opendocument,,
Anti-Strategic Lawsuits Against Public Participation (SLAPP),2010 Rhode Island Title 9 Chapter 33 Section 2,Limits on Strategic Litigation Against Public Participation,2010,Rhode Island Legislature,http://www.rilin.state.ri.us/,Rhode Island,Exemplary,State,Other,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/Anti-Strategic_Litigation_Against_Public_Participation/2010_Rhode_Island_Title_9_Chapter_33_Section_2.pdf,http://www.BrandeisProject.org/Alice/Web_Folder/Civil_Rights/Anti-Strategic_Litigation_Against_Public_Participation/2010_Rhode_Island_Title_9_Chapter_33_Section_2.pdf,,"This law restricts Strategic Lawsuits Against Public Participation. SLAPPs are cases by corporations against a party's exercise of its right of petition or of free speech, used to silence and harass critics by forcing them to spend money to defend these suits. Victims of a SLAAP can collect a fine and attorneys fees from those misusing a SLAAP.",,,,,
Limited Liability Low Profit Company,2010 Louisiana Act 417,,2010,Louisiana Legislature,http://www.legis.state.la.us/,Louisiana,Exemplary,State,Act/Ordinance,http://www.BrandeisProject.org/Alice/Web_Folder/Economic_and_Workforce_Development/Limited_Liability_Low_Profit_Company/2010_Louisiana_Act_417.pdf,,,"An act to provide for the creation of Low-Profit Limited Liability Companies in the state. A low-profit limited liability company (L3C) is a legal form of business entity in the United States that was created to bridge the gap between non-profit
 and for-profit investing by providing a structure that facilitates 
investments in socially beneficial, for-profit ventures while 
simplifying compliance with Internal Revenue Service rules for ""Program Related Investments"".",2010 Louisiana House Bill 1421,http://www.legis.state.la.us/billdata/byinst.asp?sessionid=10RS&billid=HB1421&doctype=BT,http://www.legis.state.la.us/billdata/History.asp?sessionid=10RS&billid=HB1421,"L3C, L3c, Social Enterprise, Economic Development, Corporations",
